🕘️更新时间,#genre#
2026-09-15 22:40:54,http://74.91.26.218:82/live/cctv3hd.m3u8$订阅源

📺央视频道,#genre#
CCTV-3,http://74.91.26.218:82/live/cctv3hd.m3u8$订阅源
CCTV-9,http://223.78.65.165:9901/tsfile/live/0010_1.m3u8$订阅源
CCTV-11,http://223.78.65.165:9901/tsfile/live/0012_1.m3u8$订阅源
CCTV-12,http://221.7.175.154:8445/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-12,http://223.78.65.165:9901/tsfile/live/0013_1.m3u8$订阅源
CCTV-13,http://221.7.175.154:8445/tsfile/live/1011_1.m3u8$订阅源
CCTV-14,http://74.91.26.218:82/live/cctv14hd.m3u8$订阅源
CCTV-14,http://118.122.144.115:8888/newlive/live/hls/15/live.m3u8$订阅源
CCTV-14,http://223.78.65.165:9901/tsfile/live/0015_1.m3u8$订阅源
CCTV-15,http://118.122.144.115:8888/newlive/live/hls/16/live.m3u8$订阅源
CCTV-16,https://shcm-stream-cf1.stream.264788.xyz/cms001/ch00000090990000001258/index.m3u8$订阅源
CCTV-16,http://118.122.144.115:8888/newlive/live/hls/17/live.m3u8$订阅源
CCTV-16,http://219.147.245.238:25480/newlive/live/hls/17/live.m3u8$订阅源
CCTV-17,https://live.264788.xyz/channel/cctv17?streamid=f9c36f1e95b5b35eac89cc89583e7c0a&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk$订阅源
CCTV-17,http://38.75.136.137:98/gslb/dsdqbv/cctv17hd.m3u8?auth=test20251009$订阅源
CCTV-17,http://221.7.175.154:8445/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源

☘️河南频道,#genre#

🌊港·澳·台,#genre#
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_audio.m3u8$订阅源
